wy,lay1,lay2,lay3,lay4,lay5,lay6,lay7,lay8
1976-01-01,-19339.285415,-330.5130819,-86.98736594000002,-94.89461241999999,-88.84157463000003,-98.91285304499996,-372.3073107134,-516.2742043673999
1977-01-01,-19640.348101000003,-461.7670878,-195.18924890000005,-204.2400126,-193.91719434000004,-192.75020318000003,-476.6582455409,-481.77498564210003
1978-01-01,11202.993969999996,-251.70482500000003,-72.07347470000002,-74.45289867000002,-63.319787359999964,-64.211597955,-179.57561390899997,-250.92569596125003
1979-01-01,-6463.6793899999975,-197.9096065,-95.70573650999995,-107.81458935000006,-99.44053797999999,-95.349988,-258.527330619,-250.5101986445
1980-01-01,7672.740229999996,-2.7379060000000095,27.482261900000026,17.456555890000004,19.821220070000038,11.898621409999976,-80.09213707999993,-138.62034729750002
1981-01-01,-9765.194520000001,-171.0149783,-9.639784730000088,-18.822075380000115,-28.208403029999943,-35.98723715999995,-139.156746736,-192.72409122370004
1982-01-01,17263.609940000002,51.8397688,32.84038369999996,28.23368040699995,27.18690234999997,20.77099536000003,31.793905260000088,36.97165105999994
1983-01-01,16424.304384000003,284.1900148,120.44587880700004,115.63699409100002,120.09457264140002,115.31882992999999,245.37214258,189.54070706800002
1984-01-01,-5966.83783,11.761587599999984,-60.515509029999976,-51.98895083600007,-42.854956146000006,-34.44320253000001,-38.07417330999999,17.01246782999999
1985-01-01,-5629.28817,-146.1006994,33.27998560000003,38.19132918500003,24.645513370000003,10.297255524999969,-39.05131495999996,-73.26269637999997
1986-01-01,4444.140659999997,-82.92857599999996,45.00777532000001,45.93229765000001,38.51584940999999,33.71611243000001,30.320004780000033,7.868016250000039
1987-01-01,-12339.745030000002,-167.380948,-121.90198853999999,-93.23254966999997,-75.91457117000004,-61.80655632000003,-57.66588733999998,-10.146009849999984
1988-01-01,-4239.58828,-254.056543,-15.11843085999999,1.7256708699999876,0.3449371259999907,-2.412579644999994,-51.79964898000003,-75.98347353000003
1989-01-01,-3066.3394799999987,-94.01358270000003,61.97776292999998,42.20016444700002,32.262010420000024,25.649423439000003,37.39433410000004,-3.9092791599999828
1990-01-01,-6651.440224000002,-197.1080194,-68.33551895000005,-42.57827756950002,-26.86786189700001,-16.347189836000013,-27.676086750000024,-16.70582805699999
1991-01-01,-4747.501845999999,-173.50322155000003,-9.027827279999997,-3.9176332460000367,-2.2632795819999956,-1.924270244999974,-7.600914910999961,-44.025129488000005
1992-01-01,-778.1179489999995,-136.61873810000003,59.16137567999999,63.765489360000004,60.03306307,51.42049810400002,45.775082459999965,17.20112997199999
1993-01-01,10458.227029999998,42.60795500000006,-227.38057616999998,-187.040786674,-164.35407641999996,-135.27839686000002,-166.91895002,-68.259091136
1994-01-01,-8169.39444,-182.70640010000005,-61.5296725799999,-29.40786094400005,-35.335402036000005,-41.30132627500001,-109.01624824999999,-159.331672647
1995-01-01,17270.38503,65.40515200000004,77.79393160000006,37.634201636,32.63887126000003,26.38751212400001,16.728381490000004,6.370509120000008
1996-01-01,2088.389330000002,126.01969409999998,8.843656689999989,15.658339413999954,4.479592522000019,0.37962785000001986,-33.11672434000002,-44.674837920000016
1997-01-01,-2202.398009999997,-41.18572799999998,18.51993490299992,19.69718255300006,20.269438217499953,12.369421595000006,-0.5426775600000155,-54.46276188999997
1998-01-01,14815.347064000001,189.14102760000003,124.45028709799999,54.487316902600014,47.76917072100002,54.25920559650001,180.80496611,194.50141491
1999-01-01,-2952.992454000003,61.26838809999998,-61.121504670000036,-46.07292121500001,-32.766513097400036,-30.802046065300033,-62.65374969200002,-40.505657799999994
2000-01-01,-5268.3363549999995,-64.1058261,-6.219129729999963,-17.366646100000025,-20.47293437000002,-27.11562590999995,-111.98080607000003,-134.18833539000002
2001-01-01,-10999.7316,-274.141071,-173.88193932000001,-118.73445579999998,-120.42030497999997,-116.375188649,-265.15163891000003,-275.07381601
2002-01-01,2196.0042799999974,-12.438390400000003,214.42335569400007,164.44163966000002,163.27613756699998,158.16043178,347.04122830999995,277.25983188000004
2003-01-01,2476.7341099999976,-25.574510799999985,-80.71578312999998,-79.49263395100002,-73.46917913199997,-70.580335907,-154.09114270399994,-46.650765920000026
2004-01-01,-2963.3619199999994,-56.3347134,-6.057457213000021,28.278657651999993,29.20184455399999,33.011571333999996,64.38217660999993,-110.69816965000001
2005-01-01,7606.098409999999,247.5780244,141.57205618,117.94056421879998,116.12351813800001,110.82047133399999,285.86830086000003,308.03513640999995
2006-01-01,8470.163290000004,204.28768699999995,102.33735223800011,115.08946009430008,115.39382745990002,118.09290848139997,294.118132188,275.30553877000006
2007-01-01,-12361.50654,-17.043365900000026,-99.78793488199994,-95.71488910700003,-95.84020274199997,-89.33357162100003,-35.419451804000005,172.08397099299998
2008-01-01,-5753.997240000001,-250.02412149999998,-121.92809195000007,-93.0933166000001,-88.73305564000003,-87.36386914000002,-246.49377253999995,-269.19155149999995
2009-01-01,-6027.966400000001,-79.67966429999996,59.93398945000001,53.970685,57.64494765500001,56.353137273000016,67.81417066999995,-5.154074610000009
2010-01-01,9844.103340000001,124.1409941,105.86657555,75.70298388999993,71.20493947,65.20074290000002,186.27260225999999,250.89959412999997
2011-01-01,10673.867180000001,288.49173149999996,72.15424072500002,67.19065891599996,67.26024376129999,72.71696958799998,186.866174888,166.37549542
2012-01-01,-10249.356049999999,-6.040087200000016,-98.74486456,-69.28722604999996,-75.89762489000003,-78.15194221999997,-184.08281221000004,-165.86774150999997
2013-01-01,-3519.1566999999995,-56.914836200000025,41.65871379999999,16.731368002000067,-1.9110633670000539,-11.221143789999985,-63.92216592,-74.43638881999999
2014-01-01,-12100.974900000001,-261.8340693,-86.49907943400001,-46.56737594819998,-51.527523684699986,-53.47978823220001,-161.93909313200004,-181.75443563
2015-01-01,-4485.589185000001,-208.86644049999995,-19.885785940000005,-4.231023600000071,2.4899522499999875,3.2646451899999533,-0.07817916999999852,-39.17754020000007
2016-01-01,3022.9236600000004,-75.98251217,12.99973255000009,8.43911895000008,27.150371600000028,34.436117249999995,84.16610066599998,119.29887932999998
2017-01-01,18130.429260000004,228.16208250000005,95.25871916999995,72.52523749,68.59760784999997,62.977719932000014,156.69294404,166.27175294
2018-01-01,-6903.5260700000035,131.4433497,37.594881999999984,19.210971099999995,12.233636069999989,11.49202680999997,48.632717002999925,56.68230319000003
